Year,geo,geo_long,units_CO2_equivalents
2010,BE,Belgium,133282.0629
2010,BG,Bulgaria,47579.97454
2010,CZ,Czechia,134001.1499
2010,DK,Denmark,67185.28969
2010,DE,Germany,929723.2983
2010,EE,Estonia,15628.93393
2010,IE,Ireland,70087.95274
2010,ES,Spain,310507.4206
2010,FR,France,466103.9205
2010,HR,Croatia,21283.43227
2010,IT,Italy,481781.1139
2010,CY,Cyprus,9281.41572
2010,LV,Latvia,9845.22326
2010,LT,Lithuania,10408.58566
2010,LU,Luxembourg,11953.6455
2010,HU,Hungary,61701.81033
2010,MT,Malta,2973.53111
2010,NL,Netherlands,219790.248
2010,AT,Austria,64934.19371
2010,PL,Poland,374842.5334
2010,PT,Portugal,63133.54915
2010,RO,Romania,89434.38037
2010,SI,Slovenia,12631.15331
2010,SK,Slovakia,40603.08758
2010,FI,Finland,49599.35215
2010,SE,Sweden,14087.65392
2011,BE,Belgium,122901.6413
2011,BG,Bulgaria,56282.53735
2011,CZ,Czechia,132016.4143
2011,DK,Denmark,61434.93941
2011,DE,Germany,898693.0874
2011,EE,Estonia,15879.53701
2011,IE,Ireland,65029.04575
2011,ES,Spain,311071.3226
2011,FR,France,439246.7932
2011,HR,Croatia,22250.53097
2011,IT,Italy,476476.1597
2011,CY,Cyprus,8933.52148
2011,LV,Latvia,8648.15596
2011,LT,Lithuania,10572.34049
2011,LU,Luxembourg,11742.31474
2011,HU,Hungary,60689.22137
2011,MT,Malta,2959.08786
2011,NL,Netherlands,206031.2823
2011,AT,Austria,67145.81289
2011,PL,Poland,367971.023
2011,PT,Portugal,65167.22504
2011,RO,Romania,95363.40457
2011,SI,Slovenia,12648.31462
2011,SK,Slovakia,39333.86236
2011,FI,Finland,42580.87467
2011,SE,Sweden,8844.01326
2012,BE,Belgium,120167.3619
2012,BG,Bulgaria,51727.07568
2012,CZ,Czechia,127839.8919
2012,DK,Denmark,56419.12918
2012,DE,Germany,895880.9561
2012,EE,Estonia,16403.89439
2012,IE,Ireland,65426.1358
2012,ES,Spain,306463.849
2012,FR,France,436668.2337
2012,HR,Croatia,20932.2286
2012,IT,Italy,467036.0029
2012,CY,Cyprus,8407.59523
2012,LV,Latvia,7108.16705
2012,LT,Lithuania,10923.39818
2012,LU,Luxembourg,11435.98002
2012,HU,Hungary,56792.63073
2012,MT,Malta,3124.48945
2012,NL,Netherlands,201999.751
2012,AT,Austria,74020.83833
2012,PL,Poland,359642.9028
2012,PT,Portugal,65053.7408
2012,RO,Romania,90781.77158
2012,SI,Slovenia,12076.27218
2012,SK,Slovakia,35836.59538
2012,FI,Finland,35270.59959
2012,SE,Sweden,5856.78671
2013,BE,Belgium,119599.7919
2013,BG,Bulgaria,47641.28196
2013,CZ,Czechia,122997.7445
2013,DK,Denmark,57791.4771
2013,DE,Germany,917292.6165
2013,EE,Estonia,19163.29519
2013,IE,Ireland,66001.27241
2013,ES,Spain,280190.4751
2013,FR,France,437550.3386
2013,HR,Croatia,18742.35549
2013,IT,Italy,415242.3809
2013,CY,Cyprus,7690.81263
2013,LV,Latvia,8314.93134
2013,LT,Lithuania,10401.29717
2013,LU,Luxembourg,10767.4704
2013,HU,Hungary,54588.35466
2013,MT,Malta,2797.54866
2013,NL,Netherlands,201224.6876
2013,AT,Austria,73986.20613
2013,PL,Poland,353384.0341
2013,PT,Portugal,64284.44318
2013,RO,Romania,78752.74612
2013,SI,Slovenia,13074.67616
2013,SK,Slovakia,34746.5464
2013,FI,Finland,42487.61083
2013,SE,Sweden,6017.48086
2014,BE,Belgium,113971.7316
2014,BG,Bulgaria,49437.78562
2014,CZ,Czechia,120878.7653
2014,DK,Denmark,54302.95074
2014,DE,Germany,884395.1376
2014,EE,Estonia,20780.62759
2014,IE,Ireland,65047.68436
2014,ES,Spain,279804.2569
2014,FR,France,409940.5452
2014,HR,Croatia,18151.10474
2014,IT,Italy,393484.6152
2014,CY,Cyprus,8061.3367
2014,LV,Latvia,12137.31952
2014,LT,Lithuania,11103.56916
2014,LU,Luxembourg,10362.84354
2014,HU,Hungary,53890.69367
2014,MT,Malta,2803.03424
2014,NL,Netherlands,192931.2677
2014,AT,Austria,69050.39247
2014,PL,Poland,348084.1715
2014,PT,Portugal,59065.26235
2014,RO,Romania,67009.77082
2014,SI,Slovenia,17435.14891
2014,SK,Slovakia,34957.28946
2014,FI,Finland,37814.98498
2014,SE,Sweden,5804.53079
2015,BE,Belgium,118134.1474
2015,BG,Bulgaria,52804.66766
2015,CZ,Czechia,122348.1756
2015,DK,Denmark,50507.33769
2015,DE,Germany,885486.2939
2015,EE,Estonia,17188.67
2015,IE,Ireland,67983.43709
2015,ES,Spain,289064.8929
2015,FR,France,417482.9341
2015,HR,Croatia,18912.64932
2015,IT,Italy,401771.6741
2015,CY,Cyprus,8115.40751
2015,LV,Latvia,10920.70822
2015,LT,Lithuania,12236.62894
2015,LU,Luxembourg,9944.66546
2015,HU,Hungary,56513.39645
2015,MT,Malta,2125.35084
2015,NL,Netherlands,199875.964
2015,AT,Austria,72321.36595
2015,PL,Poland,354798.0596
2015,PT,Portugal,64540.40188
2015,RO,Romania,66802.02894
2015,SI,Slovenia,17720.90628
2015,SK,Slovakia,35170.09094
2015,FI,Finland,38364.61933
2015,SE,Sweden,7145.29614
2016,BE,Belgium,116651.1434
2016,BG,Bulgaria,48359.3983
2016,CZ,Czechia,124770.7179
2016,DK,Denmark,53637.8889
2016,DE,Germany,884832.4033
2016,EE,Estonia,19452.74718
2016,IE,Ireland,69041.82256
2016,ES,Spain,276861.908
2016,FR,France,426178.8578
2016,HR,Croatia,19125.45147
2016,IT,Italy,399801.3079
2016,CY,Cyprus,8670.93583
2016,LV,Latvia,9099.70283
2016,LT,Lithuania,13120.49033
2016,LU,Luxembourg,9609.50054
2016,HU,Hungary,58134.72596
2016,MT,Malta,1843.15982
2016,NL,Netherlands,200218.6157
2016,AT,Austria,72828.51647
2016,PL,Poland,358464.0215
2016,PT,Portugal,67537.37524
2016,RO,Romania,62748.74787
2016,SI,Slovenia,18746.76134
2016,SK,Slovakia,35542.11824
2016,FI,Finland,44474.87058
2016,SE,Sweden,8252.00009
2017,BE,Belgium,116263.9235
2017,BG,Bulgaria,50363.1453
2017,CZ,Czechia,127184.0068
2017,DK,Denmark,51261.71443
2017,DE,Germany,870877.5854
2017,EE,Estonia,21165.77462
2017,IE,Ireland,70863.39441
2017,ES,Spain,289396.862
2017,FR,France,438358.3375
2017,HR,Croatia,20813.57368
2017,IT,Italy,414043.4104
2017,CY,Cyprus,8733.1624
2017,LV,Latvia,7685.57137
2017,LT,Lithuania,13829.3696
2017,LU,Luxembourg,9880.30417
2017,HU,Hungary,59707.63689
2017,MT,Malta,2029.44394
2017,NL,Netherlands,196536.7897
2017,AT,Austria,78883.08019
2017,PL,Poland,372154.6968
2017,PT,Portugal,93017.63756
2017,RO,Romania,67825.97233
2017,SI,Slovenia,18819.8978
2017,SK,Slovakia,36742.07276
2017,FI,Finland,44060.80182
2017,SE,Sweden,13772.65329
2018,BE,Belgium,116976.659
2018,BG,Bulgaria,45866.38758
2018,CZ,Czechia,130891.6823
2018,DK,Denmark,53009.0789
2018,DE,Germany,838514.2591
2018,EE,Estonia,22287.34962
2018,IE,Ireland,69998.09262
2018,ES,Spain,282765.6868
2018,FR,France,420714.3845
2018,HR,Croatia,19097.16142
2018,IT,Italy,388460.2532
2018,CY,Cyprus,8592.75981
2018,LV,Latvia,10669.82665
2018,LT,Lithuania,14468.4579
2018,LU,Luxembourg,10322.12371
2018,HU,Hungary,60222.04258
2018,MT,Malta,2038.20778
2018,NL,Netherlands,191382.0558
2018,AT,Austria,83775.25886
2018,PL,Poland,372746.173
2018,PT,Portugal,64391.83698
2018,RO,Romania,71029.07514
2018,SI,Slovenia,18735.35924
2018,SK,Slovakia,37578.11139
2018,FI,Finland,54204.11497
2018,SE,Sweden,16333.4798
2019,BE,Belgium,115983.2398
2019,BG,Bulgaria,44644.71048
2019,CZ,Czechia,131887.6563
2019,DK,Denmark,48317.66788
2019,DE,Germany,787811.4092
2019,EE,Estonia,15687.33864
2019,IE,Ireland,67822.10632
2019,ES,Spain,264584.7796
2019,FR,France,412832.6248
2019,HR,Croatia,19063.54691
2019,IT,Italy,380439.1574
2019,CY,Cyprus,8669.54646
2019,LV,Latvia,8851.64498
2019,LT,Lithuania,14403.6456
2019,LU,Luxembourg,10376.39833
2019,HU,Hungary,59383.73497
2019,MT,Malta,2155.64191
2019,NL,Netherlands,185543.8879
2019,AT,Austria,82126.61236
2019,PL,Poland,368576.1399
2019,PT,Portugal,59760.84747
2019,RO,Romania,67540.15
2019,SI,Slovenia,13860.00613
2019,SK,Slovakia,34486.23043
2019,FI,Finland,46063.13787
2019,SE,Sweden,12351.59743
2020,BE,Belgium,106937.7525
2020,BG,Bulgaria,38639.36112
2020,CZ,Czechia,124987.3677
2020,DK,Denmark,45954.55965
2020,DE,Germany,735119.5244
2020,EE,Estonia,13916.1547
2020,IE,Ireland,66098.75068
2020,ES,Spain,228149.605
2020,FR,France,370706.8008
2020,HR,Croatia,18240.02823
2020,IT,Italy,352425.1546
2020,CY,Cyprus,8281.3143
2020,LV,Latvia,11297.73581
2020,LT,Lithuania,13567.43332
2020,LU,Luxembourg,8582.24968
2020,HU,Hungary,55855.77196
2020,MT,Malta,2120.13993
2020,NL,Netherlands,168929.4869
2020,AT,Austria,68688.64609
2020,PL,Poland,352937.1027
2020,PT,Portugal,53442.79916
2020,RO,Romania,61629.2816
2020,SI,Slovenia,12832.05345
2020,SK,Slovakia,29538.43113
2020,FI,Finland,38709.25982
2020,SE,Sweden,4927.40855
